"","S","model","npar","AICc","DeltaAICc","weight","Deviance"
"2","~-1 + NestAge + Init + Site:Year","S(~-1 + NestAge + Init + Site:Year)",36,4003.59415065004,0,0.823665019480194,3931.5269
"3","~-1 + Init + Site:Year","S(~-1 + Init + Site:Year)",35,4006.67691387388,3.08276322384381,0.176334419970518,3936.6133
"10","~-1 + Site:Year","S(~-1 + Site:Year)",34,4032.74727825319,29.1531276031478,3.84794980353532e-07,3964.6872
"1","~-1 + NestAge + Site:Year","S(~-1 + NestAge + Site:Year)",35,4034.31861387388,30.7244632238439,1.75395401703895e-07,3964.255
"7","~Site + Year","S(~Site + Year)",28,4046.70208836476,43.1079377147171,3.58906136858842e-10,3990.6611
"5","~Site + Init + NestAge","S(~Site + Init + NestAge)",4,4245.73290895447,242.138758304432,0,4237.7319
"4","~Site + Init","S(~Site + Init)",3,4248.67380535741,245.079654707375,0,4242.6732
"8","~Site + Init + Site * Init","S(~Site + Init + Site * Init)",4,4249.37610895447,245.781958304432,0,4241.3751
"6","~Site + NestAge","S(~Site + NestAge)",3,4274.84490535741,271.250754707374,0,4268.8443
"9","~Site + NestAge + Site * NestAge","S(~Site + NestAge + Site * NestAge)",4,4276.31650895447,272.722358304432,0,4268.3155
